arr_id,shape,n_mic,sep,depth,mic_id,x,y,z
37,random,4,1,0.7,0,0.0,0.0,0.0
37,random,4,1,0.7,1,-0.5399948359435527,-0.6919701658208457,0.4251427552876042
37,random,4,1,0.7,2,0.4291005686239624,0.17779922792078184,0.30114325565869604
37,random,4,1,0.7,3,-0.408024809404663,0.5309716490098915,0.29054867985908917
80,star,4,1,0.7,0,0.0,0.0,0.7
80,star,4,1,0.7,1,1.0,0.0,0.0
80,star,4,1,0.7,2,-0.4999999999999998,0.8660254037844387,0.0
80,star,4,1,0.7,3,-0.5000000000000004,-0.8660254037844385,0.0
71,random,7,1,0.7,0,0.0,0.0,0.0
71,random,7,1,0.7,1,0.89838050883232,-0.7031907880326866,0.2326614446705996
71,random,7,1,0.7,2,0.5589015270445028,0.5891553749261713,0.11914082961207627
71,random,7,1,0.7,3,-0.9020832294940255,0.6709655111341872,0.23771870844011303
71,random,7,1,0.7,4,-0.6564412807728346,-0.8283655711474545,0.6067427921287908
71,random,7,1,0.7,5,0.5421966347526874,-0.4442546944174104,0.5977856386824246
71,random,7,1,0.7,6,0.5851000543888785,0.46177703750171384,0.5505386997255649
13,random,5,1,0.7,0,0.0,0.0,0.0
13,random,5,1,0.7,1,-0.3917301757362004,-0.7446510783102533,0.6697731268003961
13,random,5,1,0.7,2,0.8742446590966133,0.8799925045939758,0.1800585067700622
13,random,5,1,0.7,3,-0.861629567336115,0.2754904339156967,0.30920324344524636
13,random,5,1,0.7,4,-0.3389876880907612,-0.26664671589573397,0.19679802960910114
16,random,7,1,0.7,0,0.0,0.0,0.0
16,random,7,1,0.7,1,0.1695510225964736,-0.6928916694477081,0.0992938593680133
16,random,7,1,0.7,2,0.6392346260840929,0.4468084140547375,0.09569699916700125
16,random,7,1,0.7,3,0.6935714164419144,-0.8630964589689172,0.3559999907912746
16,random,7,1,0.7,4,-0.9122080246192972,0.6279350087019648,0.3870871559172664
16,random,7,1,0.7,5,-0.48137138800611834,-0.057896576936296684,0.3263887561554957
16,random,7,1,0.7,6,-0.9430790163868785,-0.5787632555670457,0.5654080955394774
0,spiral,5,0.7,0.7,0,0.0,0.0,0.7
0,spiral,5,0.7,0.7,1,0.0,0.7,0.0
0,spiral,5,0.7,0.7,2,-0.7,0.0,0.2
0,spiral,5,0.7,0.7,3,0.0,-0.7,0.4
0,spiral,5,0.7,0.7,4,0.7,0.0,0.6
8,triangle,5,0.5,0.1,0,0,0,0
8,triangle,5,0.5,0.1,1,1,0,0.1
8,triangle,5,0.5,0.1,2,2,0,0
8,triangle,5,0.5,0.1,3,0.5,0.86,0.1
8,triangle,5,0.5,0.1,4,1,1.72,0
